title,link,publication_year,mentions_methylation,mentions_stat_test,mentions_multiple_correction,mentions_bh,mentions_bonferroni,mentions_by
Author Correction: The SEQC2 epigenomics quality control (EpiQC) study,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02573-y,2021,True,False,False,False,False,False
DNA methylation-calling tools for Oxford Nanopore sequencing: a survey and human epigenome-wide evaluation,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02510-z,2021,True,True,False,False,False,False
Universal annotation of the human genome through integration of over a thousand epigenomic datasets,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02572-z,2022,True,False,True,False,True,False
TAD-like single-cell domain structures exist on both active and inactive X chromosomes and persist under epigenetic perturbations,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02523-8,2021,True,False,True,False,False,True
A systematic dissection of the epigenomic heterogeneity of lung adenocarcinoma reveals two different subclasses with distinct prognosis and core regulatory networks,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02376-1,2021,True,True,True,True,False,False
Subtype-associated epigenomic landscape and 3D genome structure in bladder cancer,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02325-y,2021,True,True,False,False,False,False
scMET: Bayesian modeling of DNA methylation heterogeneity at single-cell resolution,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02329-8,2021,True,True,True,True,False,False
A genome assembly and the somatic genetic and epigenetic mutation rate in a wild long-lived perennial ,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-020-02162-5,2020,True,True,True,True,False,False
AlphaBeta: computational inference of epimutation rates and spectra from high-throughput DNA methylation data in plants,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-020-02161-6,2020,True,True,True,False,False,False
Identification of cell type-specific methylation signals in bulk whole genome bisulfite sequencing data,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-020-02065-5,2020,True,True,True,False,False,False
Allele-specific DNA methylation is increased in cancers and its dense mapping in normal plus neoplastic cells increases the yield of disease-associated regulatory SNPs,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-020-02059-3,2020,True,True,True,True,True,False
Cell type-specific genome scans of DNA methylation divergence indicate an important role for transposable elements,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-020-02068-2,2020,True,True,False,False,False,True
Single-cell lineage analysis reveals genetic and epigenetic interplay in glioblastoma drug resistance,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-020-02085-1,2020,True,False,False,False,False,False
Accurate targeted long-read DNA methylation and hydroxymethylation sequencing with TAPS,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-020-01969-6,2020,True,False,False,False,False,False
Regenerating zebrafish fin epigenome is characterized by stable lineage-specific DNA methylation and dynamic chromatin accessibility,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-020-1948-0,2020,True,True,True,False,False,False
Hemispheric asymmetry in the human brain and in Parkinson’s disease is linked to divergent epigenetic patterns in neurons,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-020-01960-1,2020,True,True,True,True,False,False
Genome-wide MNase hypersensitivity assay unveils distinct classes of open chromatin associated with H3K27me3 and DNA methylation in ,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-020-1927-5,2020,True,False,True,False,False,False
scAI: an unsupervised approach for the integrative analysis of parallel single-cell transcriptomic and epigenomic profiles,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-020-1932-8,2020,True,True,False,False,False,False
TADsplimer reveals splits and mergers of topologically associating domains for epigenetic regulation of transcription,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-020-01992-7,2020,True,True,True,True,False,False
Successful generation of epigenetic disease model mice by targeted demethylation of the epigenome,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-020-01991-8,2020,True,True,False,False,False,False
Protection from DNA re-methylation by transcription factors in primordial germ cells and pre-implantation embryos can explain trans-generational epigenetic inheritance,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-020-02036-w,2020,True,True,False,False,False,False
Personalized and graph genomes reveal missing signal in epigenomic data,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-020-02038-8,2020,True,True,True,False,False,False
DNA methylation repels binding of hypoxia-inducible transcription factors to maintain tumor immunotolerance,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-020-02087-z,2020,True,True,True,False,False,False
The RNA-binding protein SERBP1 functions as a novel oncogenic factor in glioblastoma by bridging cancer metabolism and epigenetic regulation,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-020-02115-y,2020,True,True,True,True,True,False
Contiguous and stochastic CHH methylation patterns of plant DRM2 and CMT2 revealed by single-read methylome analysis,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-020-02099-9,2020,True,True,False,False,False,True
Genome-wide identification of genes regulating DNA methylation using genetic anchors for causal inference,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-020-02114-z,2020,True,True,True,True,True,False
COCOA: coordinate covariation analysis of epigenetic heterogeneity,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-020-02139-4,2020,True,True,True,True,True,False
A DNA methylation state transition model reveals the programmed epigenetic heterogeneity in human pre-implantation embryos,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-020-02189-8,2020,True,True,False,False,False,False
Simultaneous epigenetic perturbation and genome imaging reveal distinct roles of H3K9me3 in chromatin architecture and transcription,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-020-02201-1,2020,True,True,False,False,False,False
Equivalent DNA methylation variation between monozygotic co-twins and unrelated individuals reveals universal epigenetic inter-individual dissimilarity,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-020-02223-9,2021,True,True,True,False,True,False
Megabase-scale methylation phasing using nanopore long reads and NanoMethPhase,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02283-5,2021,True,False,False,False,False,False
Meta-analysis of genome-wide DNA methylation identifies shared associations across neurodegenerative disorders,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02275-5,2021,True,True,True,False,True,False
Role of epigenetics in unicellular to multicellular transition in ,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02360-9,2021,True,True,True,False,False,False
Genetic impacts on DNA methylation: research findings and future perspectives,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02347-6,2021,True,True,True,False,True,False
