title,link,publication_year,mentions_methylation,mentions_stat_test,mentions_multiple_correction,mentions_bh,mentions_bonferroni,mentions_by
Enhancer-associated H3K4 methylation safeguards in vitro germline competence,https://www.nature.com/articles/s41467-021-26065-6,2021,True,True,False,False,False,False
Unraveling the functional role of DNA demethylation at specific promoters by targeted steric blockage of DNA methyltransferase with CRISPR/dCas9,https://www.nature.com/articles/s41467-021-25991-9,2021,True,True,True,False,False,False
CHARGE syndrome protein CHD7 regulates epigenomic activation of enhancers in granule cell precursors and gyrification of the cerebellum,https://www.nature.com/articles/s41467-021-25846-3,2021,True,True,True,False,True,False
SPOP mutation induces DNA methylation via stabilizing GLP/G9a,https://www.nature.com/articles/s41467-021-25951-3,2021,True,True,True,False,False,False
Identical twins carry a persistent epigenetic signature of early genome programming,https://www.nature.com/articles/s41467-021-25583-7,2021,True,True,True,False,True,False
A longitudinal sampling study of transcriptomic and epigenetic profiles in patients with thrombocytopenia syndrome,https://www.nature.com/articles/s41467-021-25804-z,2021,True,True,True,False,True,False
Liquid condensation of reprogramming factor KLF4 with DNA provides a mechanism for chromatin organization,https://www.nature.com/articles/s41467-021-25761-7,2021,True,True,False,False,False,False
Exosome-mediated stable epigenetic repression of HIV-1,https://www.nature.com/articles/s41467-021-25839-2,2021,True,True,True,False,False,False
HIV reprograms host m,https://www.nature.com/articles/s41467-021-25683-4,2021,True,True,False,False,False,False
Comprehensive molecular characterization of pediatric radiation-induced high-grade glioma,https://www.nature.com/articles/s41467-021-25709-x,2021,True,True,True,False,False,False
Genetic and epigenetic basis of hepatoblastoma diversity,https://www.nature.com/articles/s41467-021-25430-9,2021,True,True,True,False,False,False
Analyses of child cardiometabolic phenotype following assisted reproductive technologies using a pragmatic trial emulation approach,https://www.nature.com/articles/s41467-021-25899-4,2021,True,True,True,False,True,False
Generalized and scalable trajectory inference in single-cell omics data with VIA,https://www.nature.com/articles/s41467-021-25773-3,2021,True,False,False,False,False,False
METTL3-mediated m,https://www.nature.com/articles/s41467-021-25803-0,2021,True,True,False,False,False,False
Sequential actions of EOMES and T-BET promote stepwise maturation of natural killer cells,https://www.nature.com/articles/s41467-021-25758-2,2021,True,True,True,False,True,False
Loss of polycomb repressive complex 1 activity and chromosomal instability drive uveal melanoma progression,https://www.nature.com/articles/s41467-021-25529-z,2021,True,True,True,False,True,False
